,filename,volume,model_height,model_radius,infill,layer_height,est_time
0,stls/1000042.stl,11271.939963499704,5.0,26.78794477690333,20.0,0.2,31.0
1,stls/1000154.stl,5253.66172542423,15.800000190734863,10.287919810651651,20.0,0.2,38.0
2,stls/1000195.stl,19228.661398234468,10.010000228881836,24.72763296974594,20.0,0.2,63.0
3,stls/1000217.stl,22699.22936649869,30.0,15.51922368774714,20.0,0.2,76.0
4,stls/1000293.stl,14374.74097335941,18.0,15.943689387534956,20.0,0.2,64.0
5,stls/1000313.stl,2944.761933464557,26.799999237060547,5.914019715907271,20.0,0.2,20.0
6,stls/1000326.stl,44553.78824810187,2.0,84.207812186014,20.0,0.2,256.0
7,stls/1000433.stl,31207.276769002277,20.823505401611328,21.841179094035688,20.0,0.2,64.0
8,stls/1000439.stl,1500.8639604747295,5.0,9.774864054666587,20.0,0.2,6.0
9,stls/1000467.stl,254.2079910238584,5.0,4.022857608462284,20.0,0.2,2.0
10,stls/1000504.stl,9063.91665271918,20.0,12.01069164974775,20.0,0.2,28.0
11,stls/1000552.stl,1649.7726695085876,4.199999809265137,11.181819582192722,20.0,0.2,9.0
12,stls/1000576.stl,15147.010381229333,10.0,21.957784839263283,20.0,0.2,254.0
13,stls/1000586.stl,1322789.615729354,68.45001220703125,78.43026585741534,20.0,0.2,964.0
14,stls/1000618.stl,5572.0980521366,20.0,9.417148976151228,20.0,0.2,33.0
15,stls/1000687.stl,63040.76738181565,20.0,31.675305436763008,20.0,0.2,426.0
16,stls/1000700.stl,299.65887414912385,8.0,3.4529766529106896,20.0,0.2,3.0
17,stls/1000756.stl,48407.90997157494,43.17499923706055,18.89152687691875,20.0,0.2,263.0
18,stls/1000798.stl,1262.0000025431318,8.0,7.086140320843286,20.0,0.2,8.0
19,stls/1000883.stl,3200.8773777799506,29.0,5.927350148804376,20.0,0.2,29.0
20,stls/1000915.stl,5886.612819843489,8.0,15.30427659468271,20.0,0.2,39.0
21,stls/1000977.stl,28872.62452459233,53.95000076293945,13.05186183053683,20.0,0.2,129.0
22,stls/1001076.stl,8614.01171875,15.0,13.520170338624071,20.0,0.2,21.0
23,stls/1001124.stl,10052.618747410294,10.0,17.888118764524155,20.0,0.2,59.0
24,stls/1001183.stl,2116.348713471376,3.0,14.98504496834856,20.0,0.2,14.0
25,stls/1001199.stl,35230.04777697722,75.0,12.227876620323539,20.0,0.2,96.0
26,stls/1001214.stl,97473.28630669221,30.000999450683594,32.15881271082904,20.0,0.2,158.0
27,stls/1001232.stl,27922.406530661,55.0,12.712183164731265,20.0,0.2,80.0
28,stls/1001533.stl,45885.75577205169,35.76586151123047,20.208294530482252,20.0,0.2,70.0
29,stls/1001537.stl,4146.89763592432,1.7000000476837158,27.865205770574093,20.0,0.2,18.0
30,stls/1001560.stl,11361.200386237848,10.0,19.016788377259207,20.0,0.2,56.0
31,stls/1001573.stl,9524.967471023401,16.899999618530273,13.394097834763919,20.0,0.2,60.0
32,stls/1001588.stl,137633.70894189677,25.39999771118164,41.53083200387458,20.0,0.2,443.0
33,stls/1001630.stl,2469.4135696775697,35.11079788208008,4.73153034163919,20.0,0.2,21.0
34,stls/1001660.stl,32297.00177673499,10.0,32.063148565963075,20.0,0.2,160.0
35,stls/1001675.stl,6575.367145164851,9.399999618530273,14.921797751669057,20.0,0.2,29.0
36,stls/100169.stl,19768.181602273035,75.42340087890625,9.133881421276799,20.0,0.2,45.0
37,stls/1001787.stl,302682.37432772113,63.68980026245117,38.89409639547064,20.0,0.2,250.0
38,stls/1001873.stl,3557.5661002099514,10.00100040435791,10.640935979251898,20.0,0.2,13.0
39,stls/1001881.stl,1643.664702107509,11.971053123474121,6.610974758699483,20.0,0.2,10.0
40,stls/1001922.stl,83754.89369122188,6.0,66.65834616183774,20.0,0.2,246.0
41,stls/1001949.stl,19787.346668645012,16.001998901367188,19.839545866849814,20.0,0.2,90.0
42,stls/1002091.stl,68344.79300663869,145.0,12.248806636650546,20.0,0.2,288.0
43,stls/1002126.stl,7822.093499600315,2.4000000953674316,32.20927397918579,20.0,0.2,43.0
44,stls/1002360.stl,4708.448287549817,3.0,22.351328361063512,20.0,0.2,22.0
45,stls/1002365.stl,184.98142629683244,2.700000047683716,4.66989633126177,20.0,0.2,2.0
46,stls/1002451.stl,15626.2490234375,25.000999450683594,14.105021383591197,20.0,0.2,22.0
47,stls/1002459.stl,8174.053605342905,24.0,10.412096476328434,20.0,0.2,23.0
48,stls/100251.stl,80350.37090937297,10.00100040435791,50.57050425790888,20.0,0.2,137.0
49,stls/1002548.stl,27677.807831044,4.400000095367432,44.74706610382976,20.0,0.2,140.0
50,stls/1002629.stl,21366.086783151473,2.799999952316284,49.28429468748099,20.0,0.2,114.0
51,stls/1002732.stl,5241.25,45.0,6.088863588480919,20.0,0.2,18.0
52,stls/1002791.stl,29843.496941113535,19.0,22.360067925059425,20.0,0.2,54.0
53,stls/1002843.stl,18400.873069090303,20.0,17.11312334482591,20.0,0.2,56.0
54,stls/1002891.stl,6303.007552770199,8.5,15.363476998992487,20.0,0.2,18.0
55,stls/1002998.stl,1277.4501010856281,3.000999927520752,11.640296525425846,20.0,0.2,5.0
56,stls/1003031.stl,2528.680330425501,5.9319071769714355,11.648630127512188,20.0,0.2,61.0
57,stls/1003067.stl,11967.20177202175,2.200000047683716,41.611179395068234,20.0,0.2,64.0
58,stls/1003084.stl,7016.508887734949,10.0,14.944645012386435,20.0,0.2,25.0
59,stls/1003085.stl,193.42029093984186,6.0,3.203320953705616,20.0,0.2,2.0
60,stls/1003133.stl,3598.4073914464407,10.0,10.702376592207115,20.0,0.2,18.0
61,stls/1003167.stl,28915.182700903,40.0,15.169037967606867,20.0,0.2,141.0
62,stls/1003244.stl,18858.660528415192,10.0,24.50081240771127,20.0,0.2,97.0
63,stls/1003252.stl,8883.82666015625,25.0,10.635431073672306,20.0,0.2,23.0
64,stls/1003260.stl,11281.407473723093,23.0,12.495187819723384,20.0,0.2,58.0
65,stls/1003304.stl,651.0947732413448,7.0,5.441243334350727,20.0,0.2,4.0
66,stls/1003427.stl,16750.695552825928,15.00100040435791,18.85303939086264,20.0,0.2,94.0
67,stls/1003520.stl,19336.695180288913,46.83124923706055,11.464320472797025,20.0,0.2,65.0
68,stls/1003535.stl,583.6281188754941,6.0,5.564389755293902,20.0,0.2,3.0
69,stls/1003608.stl,298.159541702189,8.0,3.444327397762787,20.0,0.2,3.0
70,stls/1003754.stl,7616.685753645997,2.0199999809265137,34.64434860427494,20.0,0.2,42.0
